"","chromosome_name","start_position","end_position","hgnc_symbol"
"78","CHR_HSCHR16_1_CTG1",16233991,16308660,"ABCC6"
"79","16",16149565,16223522,"ABCC6"
"80","16",18571162,18598328,"ABCC6P1"
"81","16",18571276,18592716,"ABCC6P1"
"82","CHR_HSCHR16_1_CTG1",15389359,15393236,"ABCC6P2"
"83","CHR_HSCHR16_1_CTG1",15389326,15391602,"ABCC6P2"
"84","16",14820792,14824669,"ABCC6P2"
"85","16",14822432,14824702,"ABCC6P2"
"86","11",17392498,17476894,"ABCC8"
"87","12",21797389,21942543,"ABCC9"
"88","X",153724856,153744755,"ABCD1"
"89","12",39550033,39619803,"ABCD2"
"90","1",94418389,94518666,"ABCD3"
"91","14",74285269,74303055,"ABCD4"
"92","4",145098288,145129524,"ABCE1"
"93","CHR_HSCHR6_MHC_SSTO_CTG1",30563598,30589402,"ABCF1"
"94","CHR_HSCHR6_MHC_COX_CTG1",30561217,30587022,"ABCF1"
"95","CHR_HSCHR6_MHC_DBB_CTG1",30561610,30587416,"ABCF1"
"96","CHR_HSCHR6_MHC_MANN_CTG1",30616012,30641816,"ABCF1"
"97","CHR_HSCHR6_MHC_MCF_CTG1",30649829,30675633,"ABCF1"
"98","CHR_HSCHR6_MHC_QBL_CTG1",30560870,30586674,"ABCF1"
"99","6",30571393,30597179,"ABCF1"
"100","7",151211484,151227205,"ABCF2"
"101","3",184186095,184194012,"ABCF3"
"102","21",42199689,42297244,"ABCG1"
"103","4",88090150,88231628,"ABCG2"
"104","11",119149052,119162653,"ABCG4"
"105","2",43812472,43838865,"ABCG5"
"106","2",43831942,43882988,"ABCG8"
"107","2",27123789,27130812,"ABHD1"
"108","3",111979010,111993368,"ABHD10"
"109","7",73736094,73738852,"ABHD11"
"110","7",73734994,73736161,"ABHD11-AS1"
"111","20",25294742,25390835,"ABHD12"
"112","14",50872053,50904970,"ABHD12B"
"113","13",108218392,108234243,"ABHD13"
"114","3",51971426,51981196,"ABHD14A"
"115","3",51974706,51989183,"ABHD14A-ACY1"
"116","3",51968510,51983409,"ABHD14B"
"117","17",29560547,29567037,"ABHD15"
"118","CHR_HSCHR6_MHC_DBB_CTG1",31669120,31685587,"ABHD16A"
"119","CHR_HSCHR6_MHC_QBL_CTG1",31677180,31693655,"ABHD16A"
"120","CHR_HSCHR6_MHC_MANN_CTG1",31726403,31742871,"ABHD16A"
"121","CHR_HSCHR6_MHC_MCF_CTG1",31763228,31779696,"ABHD16A"
"122","CHR_HSCHR6_MHC_SSTO_CTG1",31677699,31694178,"ABHD16A"
"123","CHR_HSCHR6_MHC_COX_CTG1",31674358,31690824,"ABHD16A"
"124","6",31686955,31703356,"ABHD16A"
"125","20",63861498,63862988,"ABHD16B"
"126","19",1876810,1885496,"ABHD17A"
"127","9",71862452,71911193,"ABHD17B"
"128","15",80679684,80755621,"ABHD17C"
"129","4",127965306,128039953,"ABHD18"
"130","15",89087459,89202355,"ABHD2"
"131","18",21650901,21704780,"ABHD3"
"132","14",22598290,22612963,"ABHD4"
"133","3",43690108,43734371,"ABHD5"
"134","3",58237532,58295693,"ABHD6"
"135","19",17292131,17310236,"ABHD8"
"136","10",26746593,26861087,"ABI1"
"137","2",203328280,203447728,"ABI2"
"138","17",49210411,49223225,"ABI3"
"139","3",100749156,100993515,"ABI3BP"
"140","9",130713043,130887675,"ABL1"
"141","1",179099330,179229684,"ABL2"
"142","10",114431112,114768061,"ABLIM1"
"143","4",7965310,8158832,"ABLIM2"
"144","5",149141483,149260542,"ABLIM3"
"145","CHR_HG2030_PATCH",133255585,133275349,"ABO"
"146","9",133233278,133276024,"ABO"
"147","CHR_HSCHR17_3_CTG2",1003519,1116206,"ABR"
"148","CHR_HSCHR17_2_CTG2",1003519,1192547,"ABR"
"149","17",1003519,1229738,"ABR"
"150","8",106759483,106770244,"ABRA"
"151","6",139028745,139043302,"ABRACL"
"152","4",83459517,83523348,"ABRAXAS1"
"153","10",124801819,124836667,"ABRAXAS2"
"154","6",26596953,26600739,"ABT1"
"155","3",127672935,127680926,"ABTB1"
"156","11",34150987,34358010,"ABTB2"
"157","3",38103129,38137242,"ACAA1"
"158","18",49782164,49813953,"ACAA2"
"159","CHR_HSCHR17_7_CTG4",37086456,37411442,"ACACA"
"160","17",37084992,37406836,"ACACA"
"161","12",109116587,109268226,"ACACB"
"162","12",111686053,111757107,"ACAD10"
"163","3",132558138,132660082,"ACAD11"
"164","11",134253548,134265855,"ACAD8"
"165","3",128879596,128924003,"ACAD9"
"166","2",210187126,210225447,"ACADL"
"167","1",75724431,75787575,"ACADM"
"168","12",120725774,120740008,"ACADS"
"169","10",123008979,123058290,"ACADSB"
"170","17",7217125,7225266,"ACADVL"
"171","15",88803436,88875353,"ACAN"
"172","CHR_HG2087_PATCH",7339566,7354514,"ACAP1"
"173","17",7336529,7351477,"ACAP1"
"174","3",195274745,195443044,"ACAP2"
"175","1",1292390,1309609,"ACAP3"
"176","11",108116695,108147603,"ACAT1"
"177","6",159762045,159779112,"ACAT2"
"178","1",226144679,226186741,"ACBD3"
"179","1",226148003,226155071,"ACBD3-AS1"
"180","17",45132600,45144181,"ACBD4"
"181","10",27168135,27243046,"ACBD5"
"182","1",180269653,180502954,"ACBD6"
"183","10",15075475,15088776,"ACBD7"
"184","11",44065925,44084237,"ACCS"
"185","11",44047981,44059977,"ACCSL"
"186","16",67657512,67660810,"ACD"
"187","17",63477061,63498380,"ACE"
"188","X",15494566,15607236,"ACE2"
"189","19",6306142,6333612,"ACER1"
"190","9",19409009,19452505,"ACER2"
"191","11",76860859,77026797,"ACER3"
"192","7",100889994,100896974,"ACHE"
"193","14",23058564,23095614,"ACIN1"
"194","1",159203307,159206500,"ACKR1"
"195","3",42804752,42887974,"ACKR2"
"196","2",236567787,236582354,"ACKR3"
"197","3",132597270,132618967,"ACKR4"
"198","17",41866917,41930542,"ACLY"
"199","2",134838616,134902034,"ACMSD"
"200","9",32384603,32454769,"ACO1"
"201","22",41447830,41529273,"ACO2"
"202","13",76948511,76958638,"ACOD1"
"203","14",73537143,73543796,"ACOT1"
"204","1",54542257,54639192,"ACOT11"
"205","5",81329996,81394179,"ACOT12"
"206","6",24667035,24705065,"ACOT13"
"207","14",73567620,73575658,"ACOT2"
"208","14",73591873,73595766,"ACOT4"
"209","14",73610945,73619888,"ACOT6"
"210","1",6264269,6393767,"ACOT7"
"211","20",45841721,45857405,"ACOT8"
"212","X",23701055,23766475,"ACOT9"
"213","17",75941507,75979177,"ACOX1"
"214","3",58505136,58537283,"ACOX2"
"215","4",8366282,8440723,"ACOX3"
"216","2",110732539,111120610,"ACOXL"
"217","2",111098345,111116407,"ACOXL-AS1"
"218","2",264140,278283,"ACP1"
"219","11",47239302,47248906,"ACP2"
"220","19",50790415,50795219,"ACP4"
"221","19",11574653,11579993,"ACP5"
"222","1",147629652,147670524,"ACP6"
"223","19",39083913,39111493,"ACP7"
"224","CHR_HG1311_PATCH",50738219,50745356,"ACR"
"225","22",50738196,50745339,"ACR"
"226","12",6638075,6647433,"ACRBP"
"227","11",125671522,125680874,"ACRV1"
"228","15",78167468,78245688,"ACSBG1"
"229","19",6135247,6193094,"ACSBG2"
"230","17",50426158,50474845,"ACSF2"
"231","16",89088375,89164121,"ACSF3"
"232","4",184755595,184826818,"ACSL1"
"233","2",222860942,222944639,"ACSL3"
"234","X",109624244,109733403,"ACSL4"
"235","10",112374116,112428379,"ACSL5"
"236","5",131949973,132012243,"ACSL6"
"237","16",20623235,20698890,"ACSM1"
"238","16",20451461,20487669,"ACSM2A"
"239","16",20536226,20576427,"ACSM2B"
"240","16",20610243,20797581,"ACSM3"
"241","12",7304072,7328719,"ACSM4"
"242","16",20409534,20441336,"ACSM5"
"243","10",95194200,95228929,"ACSM6"
"244","20",25006230,25058980,"ACSS1"
"245","20",34872146,34927962,"ACSS2"
"246","12",80936414,81261210,"ACSS3"
"247","1",229430365,229434104,"ACTA1"
"248","10",88935074,88991339,"ACTA2"
"249","10",88932390,88940820,"ACTA2-AS1"
"250","7",5526409,5563902,"ACTB"
"251","5",57480018,57482811,"ACTBL2"
"252","15",34790230,34795549,"ACTC1"
"253","17",81509413,81523847,"ACTG1"
"254","15",82725873,82738904,"ACTG1P17"
"255","1",27325329,27325796,"ACTG1P20"
"256","1",103569553,103570674,"ACTG1P4"
"257","2",73892314,73919865,"ACTG2"
"258","20",33666943,33668525,"ACTL10"
"259","3",179562886,179588407,"ACTL6A"
"260","7",100643097,100656448,"ACTL6B"
"261","9",108862266,108863756,"ACTL7A"
"262","9",108854588,108855986,"ACTL7B"
"263","1",17755333,17827063,"ACTL8"
"264","19",8697400,8698795,"ACTL9"
"265","14",68874128,68979440,"ACTN1"
"266","1",236664141,236764631,"ACTN2"
"267","11",66546395,66563334,"ACTN3"
"268","CHR_HG26_PATCH",38647649,38731589,"ACTN4"
"269","19",38647649,38731589,"ACTN4"
"270","14",58200080,58235636,"ACTR10"
"271","10",102461881,102502712,"ACTR1A"
"272","2",97655939,97664044,"ACTR1B"
"273","2",65227788,65271253,"ACTR2"
"274","2",113890063,113962596,"ACTR3"
"275","7",152759749,152855378,"ACTR3B"
"276","2",91940668,91942040,"ACTR3BP2"
"277","CHR_HG545_PATCH",38732663,38734141,"ACTR3BP5"
"278","10",38696424,38697902,"ACTR3BP5"
"279","7",150243916,150323725,"ACTR3C"
"280","20",38748460,38772520,"ACTR5"
"281","12",100199122,100241865,"ACTR6"
"282","3",53867066,53882152,"ACTR8"
"283","X",128050962,128052403,"ACTRT1"
"284","1",3021467,3022903,"ACTRT2"
"285","3",169766921,169769561,"ACTRT3"
"286","2",157736251,157876330,"ACVR1"
"287","12",51951699,51997078,"ACVR1B"
"288","2",157526767,157628864,"ACVR1C"
"289","2",147844517,147930826,"ACVR2A"
"290","3",38453890,38493142,"ACVR2B"
"291","3",38451027,38454820,"ACVR2B-AS1"
"292","12",51906908,51923361,"ACVRL1"
"293","3",51983340,51989197,"ACY1"
"294","11",67642555,67650730,"ACY3"
"295","14",75053237,75069483,"ACYP1"
"296","2",53970838,54305300,"ACYP2"
"297","20",44584896,44652252,"ADA"
"298","22",17178790,17258235,"ADA2"
"299","4",122378966,122429802,"ADAD1"
"300","16",84191138,84197168,"ADAD2"
"301","15",43330672,43354569,"ADAL"
"302","15",58588809,58749791,"ADAM10"
"303","17",44758988,44781846,"ADAM11"
"304","10",126012381,126388477,"ADAM12"
"305","1",155050566,155062775,"ADAM15"
"306","2",9488486,9556732,"ADAM17"
"307","CHR_HSCHR8_9_CTG1",39429440,39575001,"ADAM18"
"308","8",39584489,39730065,"ADAM18"
"309","5",157395534,157575775,"ADAM19"
"310","12",111899263,111901391,"ADAM1A"
"311","CHR_HSCHR8_9_CTG1",39588691,39683242,"ADAM2"
"312","8",39743735,39838227,"ADAM2"
"313","14",70522358,70535015,"ADAM20"
"314","14",70468881,70471206,"ADAM20P1"
"315","14",70453541,70483775,"ADAM20P1"
"316","14",70417107,70460427,"ADAM21"
"317","14",70245491,70247801,"ADAM21P1"
"318","7",87934143,88202889,"ADAM22"
"319","2",206443532,206621127,"ADAM23"
"320","8",24294069,24359014,"ADAM28"
"321","4",174829668,174978180,"ADAM29"
"322","1",119893533,119896515,"ADAM30"
"323","CHR_HSCHR8_9_CTG1",39106990,39284943,"ADAM32"
"324","8",39106990,39284917,"ADAM32"
"325","20",3667965,3682246,"ADAM33"
"326","8",39451045,39522852,"ADAM3A"
"327","16",49517762,49518601,"ADAM3B"
"328","8",39314591,39417378,"ADAM5"
"329","CHR_HSCHR14_3_CTG1",105970939,105971937,"ADAM6"
"330","CHR_HSCHR14_3_CTG1",105970500,105973040,"ADAM6"
"331","14",105970168,105971166,"ADAM6"
"332","14",105969729,105972269,"ADAM6"
"333","8",24440930,24526970,"ADAM7"
"334","10",133262420,133276868,"ADAM8"
"335","CHR_HSCHR8_9_CTG1",39101863,39105144,"ADAM9"
"336","8",38996754,39105445,"ADAM9"
"337","8",24384285,24406013,"ADAMDEC1"
"338","21",26835755,26845409,"ADAMTS1"
"339","19",8580240,8610735,"ADAMTS10"
"340","CHR_HSCHR5_6_CTG1",33842143,33894178,"ADAMTS12"
"341","5",33523535,33892019,"ADAMTS12"
"342","CHR_HG2030_PATCH",133414506,133459550,"ADAMTS13"
"343","9",133414358,133459402,"ADAMTS13"
"344","10",70672506,70762441,"ADAMTS14"
"345","11",130448645,130476645,"ADAMTS15"
"346","5",5140330,5320304,"ADAMTS16"
"347","15",99971437,100342005,"ADAMTS17"
"348","16",77247813,77435034,"ADAMTS18"
"349","5",129460281,129738683,"ADAMTS19"
"350","5",129424782,129461076,"ADAMTS19-AS1"
"351","CHR_HG30_PATCH",179110853,179345461,"ADAMTS2"
"352","5",179110853,179345461,"ADAMTS2"
"353","12",43353866,43552203,"ADAMTS20"
"354","4",72280969,72569221,"ADAMTS3"
"355","1",161184302,161199054,"ADAMTS4"
"356","21",26917922,26967088,"ADAMTS5"
"357","5",65148738,65481920,"ADAMTS6"
"358","15",78759206,78811464,"ADAMTS7"
"359","CHR_HSCHR15_5_CTG8",82298559,82334628,"ADAMTS7P1"
"360","15",82298553,82334609,"ADAMTS7P1"
"361","11",130404923,130428609,"ADAMTS8"
"362","3",64515654,64688000,"ADAMTS9"
"363","3",64561322,64592757,"ADAMTS9-AS1"
"364","3",64684909,65053439,"ADAMTS9-AS2"
"365","9",17906563,18910950,"ADAMTSL1"
"366","9",133532164,133575519,"ADAMTSL2"
"367","15",83654088,84039842,"ADAMTSL3"
"368","1",150549369,150560937,"ADAMTSL4"
"369","1",150560202,150562115,"ADAMTSL4-AS1"
"370","19",1505022,1513604,"ADAMTSL5"
"371","7",897900,955407,"ADAP1"
"372","17",30906344,30959322,"ADAP2"
"373","1",154581695,154628013,"ADAR"
"374","21",45073853,45226560,"ADARB1"
"375","10",1177313,1737525,"ADARB2"
"376","10",1526637,1556988,"ADARB2-AS1"
"377","16",75596868,75623300,"ADAT1"
"378","6",143422832,143450695,"ADAT2"
"379","19",1905399,1913447,"ADAT3"
"380","14",77800109,77935014,"ADCK1"
"381","7",140672945,140696261,"ADCK2"
"382","CHR_HG2419_PATCH",144373101,144393242,"ADCK5"
"383","8",144373101,144393242,"ADCK5"
"384","7",45574140,45723116,"ADCY1"
"385","1",167809386,167914215,"ADCY10"
"386","6",41101022,41138727,"ADCY10P1"
"387","6",41101034,41140835,"ADCY10P1"
"388","5",7396138,7830081,"ADCY2"
"389","2",24819169,24920237,"ADCY3"
"390","CHR_HG1_PATCH",24318348,24335092,"ADCY4"
"391","14",24318349,24335093,"ADCY4"
"392","3",123282296,123449090,"ADCY5"
"393","12",48766194,48789089,"ADCY6"
"394","16",50246137,50318135,"ADCY7"
"395","8",130780301,131040909,"ADCY8"
"396","16",3953387,4116442,"ADCY9"
"397","18",904871,912172,"ADCYAP1"
"398","7",31052308,31111474,"ADCYAP1R1"
"399","4",2843844,2930076,"ADD1"
"400","2",70607618,70768225,"ADD2"
"401","10",109996368,110135565,"ADD3"
"402","10",109940104,110008381,"ADD3-AS1"
"403","6",146598967,146815462,"ADGB"
"404","10",133087924,133131675,"ADGRA1"
"405","10",133083073,133088491,"ADGRA1-AS1"
"406","8",37784191,37844896,"ADGRA2"
"407","4",22345071,22516066,"ADGRA3"
"408","8",142449430,142545009,"ADGRB1"
"409","1",31727117,31764893,"ADGRB2"
"410","6",68635282,69390571,"ADGRB3"
"411","12",130953907,131141469,"ADGRD1"
"412","12",130990138,130993976,"ADGRD1-AS1"
"413","19",6887566,6940459,"ADGRE1"
"414","19",14732392,14778560,"ADGRE2"
"415","19",14619117,14690027,"ADGRE3"
"416","19",6954659,6990798,"ADGRE4P"
"417","19",14380501,14408725,"ADGRE5"
"418","6",46997708,47042350,"ADGRF1"
"419","6",47656487,47695192,"ADGRF2"
"420","2",26308173,26346817,"ADGRF3"
"421","6",47685864,47722021,"ADGRF4"
"422","6",46852522,46954943,"ADGRF5"
"423","16",57610652,57665580,"ADGRG1"
"424","X",18989307,19122637,"ADGRG2"
"425","16",57668277,57689378,"ADGRG3"
"426","X",136300963,136416890,"ADGRG4"
"427","16",57542643,57591681,"ADGRG5"
"428","6",142301854,142446266,"ADGRG6"
"429","3",100609601,100695479,"ADGRG7"
"430","CHR_HG109_PATCH",14148061,14206505,"ADGRL1"
"431","19",14147743,14206187,"ADGRL1"
"432","1",81306147,81993932,"ADGRL2"
"433","4",61200326,62078335,"ADGRL3"
"434","4",62071752,62165554,"ADGRL3-AS1"
"435","1",78889764,79282124,"ADGRL4"
"436","5",90529344,91164437,"ADGRV1"
"437","4",99276369,99291003,"ADH1A"
"438","4",99304971,99352760,"ADH1B"
"439","4",99336497,99352746,"ADH1C"
"440","4",99123657,99157792,"ADH4"
"441","4",99070978,99088801,"ADH5"
"442","4",99202638,99219537,"ADH6"
"443","4",99412261,99435510,"ADH7"
"444","8",66432492,66468907,"ADHFE1"
"445","CHR_HSCHR2_1_CTG1",3498728,3502360,"ADI1"
"446","2",3497366,3519531,"ADI1"
"447","20",38581195,38588463,"ADIG"
"448","3",186842704,186858463,"ADIPOQ"
"449","3",186851886,186856123,"ADIPOQ-AS1"
"450","1",202940826,202958572,"ADIPOR1"
"451","CHR_HG1815_PATCH",1688574,1788674,"ADIPOR2"
"452","12",1688574,1788674,"ADIPOR2"
"453","10",86968432,86983934,"ADIRF"
"454","10",74151202,74709963,"ADK"
"455","11",10305073,10307397,"ADM"
"456","22",50481543,50486440,"ADM2"
"457","19",49689594,49690575,"ADM5"
"458","20",50888916,50931437,"ADNP"
"459","20",50930984,50945148,"ADNP-AS1"
"460","18",80109262,80147523,"ADNP2"
"461","10",62804720,62808479,"ADO"
"462","1",203090654,203167405,"ADORA1"
"463","22",24417879,24442357,"ADORA2A"
"464","22",24429206,24495074,"ADORA2A-AS1"
"465","17",15945130,15975746,"ADORA2B"
"466","1",111499429,111503633,"ADORA3"
"467","15",72751294,72785846,"ADPGK"
"468","15",72782835,72798199,"ADPGK-AS1"
"469","3",119579268,119589945,"ADPRH"
"470","13",113399611,113453488,"ADPRHL1"
"471","17",10697594,10711558,"ADPRM"
"472","8",26748150,26867278,"ADRA1A"
"473","5",159865080,159973012,"ADRA1B"
"474","20",4220630,4249287,"ADRA1D"
"475","10",111077029,111080907,"ADRA2A"
"476","2",96112876,96116571,"ADRA2B"
"477","4",3766348,3768526,"ADRA2C"
"478","10",114043866,114046904,"ADRB1"
"479","5",148826611,148828623,"ADRB2"
"480","8",37962990,37966599,"ADRB3"
"481","20",62302093,62308862,"ADRM1"
"482","22",40346461,40390463,"ADSL"
"483","6",11712054,11807046,"ADTRP"
"484","7",44104345,44114562,"AEBP1"
"485","12",19404045,19720801,"AEBP2"
"486","15",88621337,88632281,"AEN"
"487","4",7758714,7939926,"AFAP1"
"488","4",7754077,7778928,"AFAP1-AS1"
"489","5",149271859,149343637,"AFAP1L1"
"490","10",114294824,114404756,"AFAP1L2"
"491","6",167826893,167972023,"AFDN"
"492","6",167822103,167826833,"AFDN-DT"
"493","4",86935002,87141039,"AFF1"
"494","X",148500617,149000663,"AFF2"
"495","2",99545419,100192428,"AFF3"
"496","5",132875395,132963634,"AFF4"
"497","6",108294991,108526796,"AFG1L"
"498","16",89972581,90002161,"AFG3L1P"
"499","18",12328944,12377227,"AFG3L2"
"500","4",73481745,73504001,"AFM"
"501","17",78187358,78207702,"AFMID"
"502","4",73431138,73456174,"AFP"
"503","2",64524299,64593005,"AFTPH"
"504","4",177430774,177442437,"AGA"
"505","2",235494043,236131793,"AGAP1"
"506","2",235505553,235507566,"AGAP1-IT1"
"507","10",87001636,87009905,"AGAP11"
"508","CHR_HG1277_PATCH",47967304,47989030,"AGAP12P"
"509","10",48009873,48031599,"AGAP12P"
"510","12",57723761,57742157,"AGAP2"
"511","12",57726271,57728356,"AGAP2-AS1"
"512","7",151085831,151144436,"AGAP3"
"513","10",45825594,45853875,"AGAP4"
"514","10",73674287,73698109,"AGAP5"
"515","10",49982190,50011654,"AGAP6"
"516","10",46109621,46131358,"AGAP7P"
"517","10",47501854,47523638,"AGAP9"
"518","15",86079871,87049169,"AGBL1"
"519","15",86295649,86317173,"AGBL1-AS1"
"520","CHR_HG2114_PATCH",47664132,47719930,"AGBL2"
"521","11",47659591,47715389,"AGBL2"
"522","7",134986508,135147963,"AGBL3"
"523","1",48532854,50023954,"AGBL4"
"524","1",49374201,49472085,"AGBL4-IT1"
"525","2",27042364,27070622,"AGBL5"
"526","2",27049683,27050264,"AGBL5-AS1"
"527","CHR_HSCHR6_MHC_APD_CTG1",32247977,32251333,"AGER"
"528","CHR_HSCHR6_MHC_MCF_CTG1",32257394,32260750,"AGER"
"529","CHR_HSCHR6_MHC_MANN_CTG1",32220356,32223712,"AGER"
"530","CHR_HSCHR6_MHC_SSTO_CTG1",32188640,32191996,"AGER"
"531","CHR_HSCHR6_MHC_QBL_CTG1",32138576,32141932,"AGER"
"532","CHR_HSCHR6_MHC_COX_CTG1",32129439,32132795,"AGER"
"533","6",32180968,32184322,"AGER"
"534","2",227472152,227561217,"AGFG1"
"535","7",100539203,100568220,"AGFG2"
"536","5",77029251,77065234,"AGGF1"
"537","CHR_HSCHR7_1_CTG6",141633901,141655244,"AGK"
"538","7",141551278,141655244,"AGK"
"539","1",99850361,99924023,"AGL"
"540","1",15571699,15585051,"AGMAT"
"541","7",15200317,15562015,"AGMO"
"542","1",35869808,35930532,"AGO1"
"543","8",140520156,140635633,"AGO2"
"544","1",35930718,36072500,"AGO3"
"545","1",35808016,35857890,"AGO4"
"546","CHR_HSCHR6_MHC_APD_CTG1",32235221,32245105,"AGPAT1"
"547","CHR_HSCHR6_MHC_COX_CTG1",32116683,32126567,"AGPAT1"
"548","CHR_HSCHR6_MHC_QBL_CTG1",32125820,32135704,"AGPAT1"
"549","CHR_HSCHR6_MHC_MANN_CTG1",32207600,32217484,"AGPAT1"
"550","CHR_HSCHR6_MHC_SSTO_CTG1",32175884,32185768,"AGPAT1"
"551","CHR_HSCHR6_MHC_MCF_CTG1",32244640,32254524,"AGPAT1"
"552","6",32168212,32178096,"AGPAT1"
"553","9",136673143,136687457,"AGPAT2"
"554","21",43865223,43987592,"AGPAT3"
"555","6",161129967,161274061,"AGPAT4"
"556","CHR_HG76_PATCH",6708642,6761503,"AGPAT5"
"557","8",6708642,6761503,"AGPAT5"
"558","2",177392746,177567024,"AGPS"
"559","7",16791811,16833433,"AGR2"
"560","7",16859412,16881987,"AGR3"
"561","1",1020120,1056118,"AGRN"
"562","16",67482571,67483547,"AGRP"
"563","1",230690776,230745576,"AGT"
"564","9",85546539,85742029,"AGTPBP1"
"565","3",148697784,148743008,"AGTR1"
"566","X",116170744,116174974,"AGTR2"
"567","1",11736084,11754802,"AGTRAP"
"568","2",240868824,240880502,"AGXT"
"569","5",34998101,35048135,"AGXT2"
"570","1",246839098,246931948,"AHCTF1"
"571","2",161500885,161507705,"AHCTF1P1"
"572","20",34280268,34311802,"AHCY"
"573","1",109984765,110023742,"AHCYL1"
"574","7",129225030,129430211,"AHCYL2"
"575","1",27534035,27604431,"AHDC1"
"576","6",135283407,135498434,"AHI1"
"577","11",62433542,62556235,"AHNAK"
"578","14",104937244,104978374,"AHNAK2"
"579","7",16916359,17346152,"AHR"
"580","5",321714,438291,"AHRR"
"581","14",77457870,77469472,"AHSA1"
"582","2",61177418,61191203,"AHSA2P"
"583","3",186613060,186621318,"AHSG"
"584","16",31527900,31528803,"AHSP"
"585","12",8602155,8613242,"AICDA"
"586","1",222668013,222713210,"AIDA"
"587","CHR_HSCHR6_MHC_SSTO_CTG1",31605935,31607772,"AIF1"
"588","CHR_HSCHR6_MHC_QBL_CTG1",31605413,31607250,"AIF1"
"589","CHR_HSCHR6_MHC_DBB_CTG1",31597358,31599195,"AIF1"
"590","CHR_HSCHR6_MHC_MCF_CTG1",31691477,31693314,"AIF1"
"591","CHR_HSCHR6_MHC_COX_CTG1",31602592,31604429,"AIF1"
"592","6",31615217,31617021,"AIF1"
"593","9",131096476,131123152,"AIF1L"
"594","X",130124666,130165879,"AIFM1"
"595","10",70098223,70132934,"AIFM2"
"596","22",20965108,20981360,"AIFM3"
"597","6",143060496,143341058,"AIG1"
"598","1",159061599,159187843,"AIM2"
"599","4",106315544,106349456,"AIMP1"
